No.,Time,Source,Destination,Protocol,Length,Info
43,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"5985  >  49957 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
44,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49958  >  5986 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
45,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49959  >  7001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
46,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49960  >  8008 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
47,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"5986  >  49958 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
48,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"7001  >  49959 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
49,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"8008  >  49960 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
50,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49961  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
51,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"8080  >  49961 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
52,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49962  >  8088 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
53,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"8088  >  49962 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
54,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49963  >  8983 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
55,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"8983  >  49963 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
56,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49964  >  9600 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
57,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"9600  >  49964 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
58,14:02.6,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.7? Tell 192.168.99.6
59,14:02.7,192.168.99.5,192.168.99.6,SSH,95,Server: Protocol (SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.6)
60,14:02.7,192.168.99.5,192.168.99.6,TCP,95,"[TCP Retransmission] 22  >  49949 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=41"
61,14:02.7,192.168.99.5,192.168.99.2,TCP,95,"[TCP Retransmission] 22  >  60685 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=41"
62,14:02.7,192.168.99.2,192.168.99.5,TCP,60,60685  >  22 [ACK] Seq=1 Ack=42 Win=32727 Len=0
63,14:02.8,192.168.99.6,192.168.99.5,TCP,60,49949  >  22 [ACK] Seq=1 Ack=42 Win=262656 Len=0
64,14:02.8,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.9? Tell 192.168.99.6
65,14:03.0,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.8? Tell 192.168.99.6
66,14:03.1,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.10? Tell 192.168.99.6
67,14:03.1,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.4? Tell 192.168.99.6
68,14:03.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.11? Tell 192.168.99.6
69,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49955  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
70,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49959  >  7001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
71,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49961  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
72,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"3306  >  49955 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
73,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"7001  >  49959 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
74,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"8080  >  49961 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
75,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49964  >  9600 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
76,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"9600  >  49964 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
77,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49950  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
78,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"80  >  49950 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
79,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49951  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
80,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49952  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
81,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"135  >  49951 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
82,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"443  >  49952 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
83,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49954  >  2222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
84,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49956  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
85,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"2222  >  49954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
86,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"3389  >  49956 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
87,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49957  >  5985 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
88,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49958  >  5986 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
89,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"5985  >  49957 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
90,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"5986  >  49958 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
91,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49960  >  8008 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
92,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49962  >  8088 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
93,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49963  >  8983 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
94,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"8008  >  49960 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
95,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"8088  >  49962 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
96,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"8983  >  49963 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
97,14:03.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.12? Tell 192.168.99.6
98,14:03.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.13? Tell 192.168.99.6
99,14:03.4,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.14? Tell 192.168.99.6
100,14:03.4,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.16? Tell 192.168.99.6
101,14:03.4,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.15? Tell 192.168.99.6
102,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.0? Tell 192.168.99.6
103,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49955  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
104,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"3306  >  49955 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
105,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49959  >  7001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
106,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49961  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
107,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"7001  >  49959 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
108,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"8080  >  49961 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
109,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49964  >  9600 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
110,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"9600  >  49964 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
111,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.9? Tell 192.168.99.6
112,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.8? Tell 192.168.99.6
113,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.10? Tell 192.168.99.6
114,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.4? Tell 192.168.99.6
115,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.11? Tell 192.168.99.6
116,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.12? Tell 192.168.99.6
117,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.13? Tell 192.168.99.6
118,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.14? Tell 192.168.99.6
119,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.16? Tell 192.168.99.6
120,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.15? Tell 192.168.99.6
121,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49950  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
122,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49951  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
123,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49952  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
124,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"80  >  49950 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
125,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"135  >  49951 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
126,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"443  >  49952 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
127,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49954  >  2222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
128,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49956  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
129,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49957  >  5985 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
130,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"2222  >  49954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
131,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"3389  >  49956 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
132,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"5985  >  49957 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
133,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49958  >  5986 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
134,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49960  >  8008 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
135,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49962  >  8088 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
136,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"5986  >  49958 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
137,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"8008  >  49960 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
138,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"8088  >  49962 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
139,14:04.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49963  >  8983 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
140,14:04.2,192.168.99.5,192.168.99.6,TCP,54,"8983  >  49963 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
141,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49955  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
142,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49959  >  7001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
143,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49961  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
144,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"3306  >  49955 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
145,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"7001  >  49959 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
146,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"8080  >  49961 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
147,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49964  >  9600 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
148,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"9600  >  49964 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
149,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49950  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
150,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49951  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
151,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49952  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
152,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49954  >  2222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
153,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49956  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
154,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"80  >  49950 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
155,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"135  >  49951 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
156,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"443  >  49952 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
157,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"2222  >  49954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
158,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"3389  >  49956 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
159,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49957  >  5985 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
160,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49958  >  5986 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
