"No.","Time","Source","Destination","Protocol","Length","Info"
"1679","26.592112","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1151200 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1680","26.592112","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1152660 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1681","26.592175","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1154120 Win=64240 Len=0"
"1682","26.592860","23.40.207.66","192.168.99.4","TCP","890","80  >  50288 [PSH, ACK] Seq=1154120 Ack=1733 Win=32768 Len=836 [TCP segment of a reassembled PDU]"
"1683","26.593343","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1154956 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1684","26.593343","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1156416 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1685","26.593343","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1157876 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1686","26.593343","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1159336 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1687","26.593343","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1160796 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1688","26.593343","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1162256 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1689","26.593343","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1163716 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1690","26.593398","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1165176 Win=64240 Len=0"
"1691","26.593797","23.40.207.66","192.168.99.4","TCP","890","80  >  50288 [PSH, ACK] Seq=1165176 Ack=1733 Win=32768 Len=836 [TCP segment of a reassembled PDU]"
"1692","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1166012 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1693","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1167472 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1694","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1168932 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1695","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1170392 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1696","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1171852 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1697","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1173312 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1698","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1174772 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1699","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1176232 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1700","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1177692 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1701","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1179152 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1702","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1180612 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1703","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1182072 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1704","26.621435","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1183532 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1705","26.621510","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1184992 Win=55480 Len=0"
"1706","26.622500","23.40.207.66","192.168.99.4","TCP","422","80  >  50288 [PSH, ACK] Seq=1184992 Ack=1733 Win=32768 Len=368 [TCP segment of a reassembled PDU]"
"1707","26.623866","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1185360 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1708","26.623894","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1186820 Win=53652 Len=0"
"1709","26.624695","23.40.207.66","192.168.99.4","TCP","1358","80  >  50288 [PSH, ACK] Seq=1186820 Ack=1733 Win=32768 Len=1304 [TCP segment of a reassembled PDU]"
"1710","26.635790","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1188124 Win=64240 Len=0"
"1711","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1188124 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1712","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1189584 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1713","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1191044 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1714","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1192504 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1715","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1193964 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1716","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1195424 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1717","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1196884 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1718","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1198344 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1719","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1199804 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1720","26.660248","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1201264 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1721","26.660303","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1202724 Win=64240 Len=0"
"1722","26.661187","23.40.207.66","192.168.99.4","TCP","656","80  >  50288 [PSH, ACK] Seq=1202724 Ack=1733 Win=32768 Len=602 [TCP segment of a reassembled PDU]"
"1723","26.661221","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1203326 Win=63638 Len=0"
"1724","26.685134","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1203326 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1725","26.685134","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1204786 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1726","26.685134","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1206246 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1727","26.685180","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1207706 Win=64240 Len=0"
"1728","26.685760","23.40.207.66","192.168.99.4","TCP","1202","80  >  50288 [PSH, ACK] Seq=1207706 Ack=1733 Win=32768 Len=1148 [TCP segment of a reassembled PDU]"
"1729","26.685848","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1208854 Win=63092 Len=0"
"1730","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1208854 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1731","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1210314 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1732","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1211774 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
